nama_jabatan;jf_id;sub_jabatan_id;sub_jabatan_nama;rekom
Widyaiswara Ahli Muda;A5EB03E24056F6A0E040640A040252AD;"A418D76E1C33B891E040640A04021940
";Widyaiswara;0
Widyaiswara Ahli Pertama;A5EB03E24057F6A0E040640A040252AD;"A418D76E1C33B891E040640A04021940
";Widyaiswara;0
Assessor SDM Aparatur;;;;30
Assessor SDM Aparatur Ahli Utama;D82C966533037042E040640A02020A8A;ff80808147fbda4a01481bde19972a30;Assessor SDM Aparatur;1
Assessor SDM Aparatur Ahli Madya;D82C966533027042E040640A02020A8A;;Assessor SDM Aparatur;5
Assessor SDM Aparatur Ahli Muda;D6B0F742EB791979E040640A02021D72;;Assessor SDM Aparatur;6
Assessor SDM Aparatur Ahli Pertama;D82C966533007042E040640A02020A8A;;Assessor SDM Aparatur;18
Analis Sumber Daya Manusia Aparatur;;A418D76DFEB3B891E040640A04021940;;61
Analis Sumber Daya Manusia Aparatur Utama;C0140143BFA388B2E050640AF2085975;;;0
Analis Sumber Daya Manusia Aparatur Ahli Madya;B0AADCFD91052D55E050640A290328BE;;Analis Kepegawaian ;5
Analis Sumber Daya Manusia Aparatur Ahli Muda;B0AADCFD91072D55E050640A290328BE;;Analis Kepegawaian ;12
Analis Sumber Daya Manusia Aparatur Ahli Pertama;B0AADCFD91062D55E050640A290328BE;;Analis Kepegawaian ;34
Pranata Sumber Daya Manusia Aparatur Penyelia;B0AADCFD91082D55E050640A290328BE;;Analis Kepegawaian ;2
Pranata Sumber Daya Manusia Aparatur Mahir;B0AADCFD91092D55E050640A290328BE;;Analis Kepegawaian ;5
Pranata Sumber Daya Manusia Aparatur Terampil;B0AADCFD910A2D55E050640A290328BE;;Analis Kepegawaian ;3
Pengelola Pengadaan Barang/Jasa ;;ff80808147c8abf70147d3b740dc0ca9;;70
Pengelola Pengadaan Barang/Jasa  Ahli Madya;ff808081407013c001407a9db25271bb;;Pengelola Pengadaan Barang/Jasa ;11
Pengelola Pengadaan Barang/Jasa  Ahli Muda;ff808081407013c001407a9ccdaf70a7;;Pengelola Pengadaan Barang/Jasa ;24
Pengelola Pengadaan Barang/Jasa Ahli Pertama;ff808081407013c001407a9baa4a6fcf;;Pengelola Pengadaan Barang/Jasa ;35
Pengawas Sekolah ;;A418D76E094CB891E040640A04021940;;0
Pengawas Sekolah Ahli Utama;ff80808136cdb69f0136cea839643d80;;Pengawas Sekolah;0
Pengawas Sekolah Ahli Madya;ff80808136cdb69f0136cea796523d43;;Pengawas Sekolah;0
Pengawas Sekolah Ahli Muda;ff80808136cdb69f0136cea6d8653d01;;Pengawas Sekolah;0
Pengawas Sekolah Ahli Pertama;;;Pengawas Sekolah;0
Teknik Jalan dan Jembatan ;;A418D76E1A9DB891E040640A04021940;;201
Teknik Jalan dan Jembatan Ahli Utama;A5EB03E23ED7F6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;0
Teknik Jalan dan Jembatan Ahli Madya;A5EB03E23ED8F6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;15
Teknik Jalan dan Jembatan Ahli Muda;A5EB03E23ED9F6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;30
Teknik Jalan dan Jembatan Ahli Pertama;A5EB03E23EDAF6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;49
Teknik Jalan dan Jembatan Penyelia;A5EB03E23EDBF6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;24
Teknik Jalan dan Jembatan Mahir;A5EB03E23EDCF6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;36
Teknik Jalan dan Jembatan Terampil;A5EB03E23EDDF6A0E040640A040252AD;;Teknik Jalan dan Jembatan ;47
Perancang Peraturan Perundang-undangan ;;A418D76E1C99B891E040640A04021940;;14
Perancang Peraturan Perundang-undangan Ahli Madya;A5EB03E24074F6A0E040640A040252AD;;Perancang Peraturan Perundang-undangan;2
Perancang Peraturan Perundang-undangan Ahli Muda;A5EB03E24075F6A0E040640A040252AD;;Perancang Peraturan Perundang-undangan;5
Perancang Peraturan Perundang-undangan Ahli Pertama;A5EB03E24076F6A0E040640A040252AD;;Perancang Peraturan Perundang-undangan;7
Auditor;;A418D76E00F9B891E040640A04021940;;124
Auditor Ahli Utama;A5EB03E23EB7F6A0E040640A040252AD;;Auditor;4
Auditor Ahli Madya;A5EB03E23EB8F6A0E040640A040252AD;;Auditor;12
Auditor Ahli Muda;A5EB03E23EB9F6A0E040640A040252AD;;Auditor;36
Auditor Ahli Pertama;A5EB03E23F12F6A0E040640A040252AD;;Auditor;72
Auditor Penyelia;A5EB03E23F13F6A0E040640A040252AD;;Auditor;0
Auditor Mahir;A5EB03E23F14F6A0E040640A040252AD;;Auditor;0
Auditor Terampil;"A5EB03E23F15F6A0E040640A040252AD
";;Auditor;0
Terapis Wicara ;;A418D76DFD2EB891E040640A04021940;;2
Terapis Wicara Penyelia;A5EB03E23F30F6A0E040640A040252AD;;Terapis Wicara ;0
Terapis Wicara Mahir;A5EB03E23F31F6A0E040640A040252AD;;Terapis Wicara ;2
Terapis Wicara Terampil;"A5EB03E23F32F6A0E040640A040252AD
";;Terapis Wicara ;0
Analis Kebijakan;;"A418D76DFD9CB891E040640A04021940
";;57
Analis Kebijakan Ahli Utama;"D82C966533077042E040640A02020A8A
";;Analis Kebijakan;2
Analis Kebijakan Ahli Madya;D82C966533067042E040640A02020A8A;;Analis Kebijakan;9
Analis Kebijakan Ahli Muda;"D82C966533057042E040640A02020A8A
";;Analis Kebijakan;14
Analis Kebijakan Ahli Pertama;"D82C966533047042E040640A02020A8A
";;Analis Kebijakan;32
Pranata Hubungan Masyarakat ;;"A418D76E1A2EB891E040640A04021940
";;37
Pranata Hubungan Masyarakat  Ahli Madya;"A5EB03E23FBCF6A0E040640A040252AD
";;Pranata Hubungan Masyarakat ;5
Pranata Hubungan Masyarakat  Ahli Muda;A5EB03E23FBDF6A0E040640A040252AD;;Pranata Hubungan Masyarakat ;11
Pranata Hubungan Masyarakat  Ahli Pertama;"A5EB03E23FBEF6A0E040640A040252AD
";;Pranata Hubungan Masyarakat ;9
Pranata Hubungan Masyarakat  Penyelia;A5EB03E23FBFF6A0E040640A040252AD;;Pranata Hubungan Masyarakat ;4
Pranata Hubungan Masyarakat  Mahir;A5EB03E23FC0F6A0E040640A040252AD;;Pranata Hubungan Masyarakat ;4
Pranata Hubungan Masyarakat  Terampil;"A5EB03E23F85F6A0E040640A040252AD
";;Pranata Hubungan Masyarakat ;4
Pranata Hubungan Masyarakat  Pemula;"A5EB03E23FC1F6A0E040640A040252AD
";;Pranata Hubungan Masyarakat ;0
Psikolog Klinis ;;8ae4829d56f7de7d0156f9868367579f;;38
Psikolog Klinis  Ahli Madya;"A5EB03E23E58F6A0E040640A040252AD
";;Psikolog Klinis ;10
Psikolog Klinis Ahli Muda;A5EB03E23E5CF6A0E040640A040252AD;;Psikolog Klinis ;9
Psikolog Klinis Ahli Pertama;"A5EB03E23E5DF6A0E040640A040252AD
";;Psikolog Klinis ;19
Arsiparis;;"A418D76E00C9B891E040640A04021940
";;282
Arsiparis Ahli Utama;A5EB03E23FF4F6A0E040640A040252AD;;Arsiparis;3
Arsiparis Ahli Madya;A5EB03E23FF5F6A0E040640A040252AD;;Arsiparis;12
Arsiparis Ahli Muda;"A5EB03E23FF6F6A0E040640A040252AD
";;Arsiparis;18
Arsiparis Ahli Pertama;A5EB03E23FF7F6A0E040640A040252AD;;Arsiparis;62
Arsiparis Penyelia;A5EB03E23FF8F6A0E040640A040252AD;;Arsiparis;56
Arsiparis Mahir;"A5EB03E23FA4F6A0E040640A040252AD
";;Arsiparis;56
Arsiparis Terampil;"8ae4829d5331ae3901533529ee4708a8
";;Arsiparis;75
Perekayasa ;;A418D76E16F7B891E040640A04021940;;34
Perekayasa Ahli Utama;A5EB03E23FC4F6A0E040640A040252AD;;Perekayasa;3
Perekayasa Ahli Madya;"A5EB03E23FC5F6A0E040640A040252AD
";;Perekayasa;6
Perekayasa Ahli Muda;"A5EB03E23E0EF6A0E040640A040252AD
";;Perekayasa;9
Perekayasa Ahli Pertama;"A5EB03E23F83F6A0E040640A040252AD
";;Perekayasa;16
Administrator Kesehatan ;;ff8080813aac1b9d013ab5f0f18c69c3;;33
Administrator Kesehatan Ahli Madya;"A5EB03E23F55F6A0E040640A040252AD
";;Administrator Kesehatan;5
Administrator Kesehatan Ahli Muda;"A5EB03E23F56F6A0E040640A040252AD
";;Administrator Kesehatan;19
Administrator Kesehatan Pertama;A5EB03E23F57F6A0E040640A040252AD;;Administrator Kesehatan;9
Epidemiolog Kesehatan;;A418D76DFCE9B891E040640A04021940;;21
Epidemiolog Kesehatan Ahli Madya;A5EB03E23EF5F6A0E040640A040252AD;;Epidemiolog Kesehatan;10
Epidemiolog Kesehatan Ahli Muda;A5EB03E23EF6F6A0E040640A040252AD;;Epidemiolog Kesehatan;9
Epidemiolog Kesehatan Ahli Pertama;A5EB03E23EF7F6A0E040640A040252AD;;Epidemiolog Kesehatan;1
Epidemiolog Kesehatan Penyelia;A5EB03E23EF8F6A0E040640A040252AD;;Epidemiolog Kesehatan;0
Epidemiolog Kesehatan Mahir;A5EB03E23EF9F6A0E040640A040252AD;;Epidemiolog Kesehatan;1
Epidemiolog Kesehatan Terampil;A5EB03E23EFAF6A0E040640A040252AD;;Epidemiolog Kesehatan;0
Epidemiolog Kesehatan Pemula;"A5EB03E23EFBF6A0E040640A040252AD
";;Epidemiolog Kesehatan;0
Apoteker ;;A418D76DFCBAB891E040640A04021940;;3
Apoteker Ahli Utama;"A5EB03E23E3CF6A0E040640A040252AD
";;Apoteker ;1
Apoteker Ahli Madya;"A5EB03E23EC6F6A0E040640A040252AD
";;Apoteker ;0
Apoteker Ahli Muda;A5EB03E23E3EF6A0E040640A040252AD;;Apoteker ;2
Apoteker Ahli Pertama;A5EB03E23EC7F6A0E040640A040252AD;;Apoteker ;0
Penyuluh Kesehatan Masyarakat ;;ff80808143b810b30143b8aa30ee0cb4;;6
Penyuluh Kesehatan Masyarakat Ahli Madya;A5EB03E23F80F6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;0
Penyuluh Kesehatan Masyarakat Ahli Muda;A5EB03E23F5EF6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;2
Penyuluh Kesehatan Masyarakat Ahli Pertama;A5EB03E23F5FF6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;4
Penyuluh Kesehatan Masyarakat Penyelia;A5EB03E23F60F6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;0
Penyuluh Kesehatan Masyarakat Mahir;A5EB03E23F61F6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;0
Penyuluh Kesehatan Masyarakat Terampil;A5EB03E23F62F6A0E040640A040252AD;;Penyuluh Kesehatan Masyarakat ;0
Pranata Komputer;;A418D76E1A2FB891E040640A04021940;;20
Pranata KomputerAhli Utama;A5EB03E23EAFF6A0E040640A040252AD;;Pranata Komputer;0
Pranata KomputerAhli Madya;A5EB03E23EB5F6A0E040640A040252AD;;Pranata Komputer;1
Pranata KomputerAhli Muda;A5EB03E23EB0F6A0E040640A040252AD;;Pranata Komputer;4
Pranata KomputerAhli Pertama;A5EB03E23EB1F6A0E040640A040252AD;;Pranata Komputer;8
Pranata KomputerPenyelia;A5EB03E23EB2F6A0E040640A040252AD;;Pranata Komputer;1
Pranata KomputerMahir;A5EB03E23EB6F6A0E040640A040252AD;;Pranata Komputer;1
Pranata KomputerTerampil;A5EB03E23EB3F6A0E040640A040252AD;;Pranata Komputer;5
Pranata KomputerPemula;A5EB03E23EB4F6A0E040640A040252AD;;Pranata Komputer;0
Statistisi;;A418D76E1A83B891E040640A04021940;;38
Statistisi Ahli Utama;8ae482874f81c7b9014f822620b93aca;;Statistisi;0
Statistisi Ahli Madya;"A5EB03E23FA6F6A0E040640A040252AD
";;Statistisi;6
Statistisi Ahli Muda;"A5EB03E23FA7F6A0E040640A040252AD
";;Statistisi;8
Statistisi Ahli Pertama;"A5EB03E23F8AF6A0E040640A040252AD
";;Statistisi;8
Statistisi Penyelia;A5EB03E23FA8F6A0E040640A040252AD;;Statistisi;4
Statistisi Mahir;A5EB03E23FA9F6A0E040640A040252AD;;Statistisi;5
Statistisi Terampil;A5EB03E23F89F6A0E040640A040252AD;;Statistisi;7
Statistisi Pemula;A5EB03E23FAAF6A0E040640A040252AD;;Statistisi;0
Pembimbing Kesehatan Kerja;;A418D76E1A83B891E040640A04021940;;4
Pembimbing Kesehatan Kerja Ahli Madya;ff808081407013c001407aa11cbd74a7;;Pembimbing Kesehatan Kerja;1
Pembimbing Kesehatan Kerja Ahli Muda;ff808081407013c001407aa061437434;;Pembimbing Kesehatan Kerja;2
Pembimbing Kesehatan Kerja Ahli Pertama;ff808081407013c001407a9ef6597286;;Pembimbing Kesehatan Kerja;1
Polisi Pamong Praja (Pol PP);;A418D76E19F7B891E040640A04021940;;188
Polisi Pamong Praja Ahli Madya;8ae482855a831d81015a8376e06a3075;;Polisi Pamong Praja;14
Polisi Pamong Praja Ahli Muda;8ae482855a831d81015a837660272f1a;;Polisi Pamong Praja;17
Polisi Pamong Praja Ahli Pertama;8ae482855a831d81015a8375fae72d9a;;Polisi Pamong Praja;30
Polisi Pamong Praja Penyelia;8ae482855a831d81015a8374e82729d0;;Polisi Pamong Praja;9
Polisi Pamong Praja Mahir;8ae482855a831d81015a8374834b2940;;Polisi Pamong Praja;20
Polisi Pamong Praja Terampil;8ae482875a831b4c015a837342f63b59;;Polisi Pamong Praja;34
Polisi Pamong Praja Pemula;8ae482875a831b4c015a8371888a0fd6;;Polisi Pamong Praja;64
Analis Ketahanan Pangan;;A418D76E008AB891E040640A04021940;;10
Analis Ketahanan Pangan Ahli Madya;8ae482865d5437a9015d54b3f36704c9;;Analis Ketahanan Pangan;2
Analis Ketahanan Pangan Ahli Muda;8ae482865d5437a9015d54b3892104b8;;Analis Ketahanan Pangan;2
Analis Ketahanan Pangan Ahli Pertama;8ae482865d5437a9015d54b325ae04a5;;Analis Ketahanan Pangan;6
Pengawas Benih Tanaman;;A418D76E0921B891E040640A04021940;;457
Pengawas Benih Tanaman Ahli Madya;A5EB03E23E47F6A0E040640A040252AD;;Pengawas Benih Tanaman;23
Pengawas Benih Tanaman Ahli Muda;A5EB03E24010F6A0E040640A040252AD;;Pengawas Benih Tanaman;49
Pengawas Benih Tanaman Ahli Pertama;A5EB03E24042F6A0E040640A040252AD;;Pengawas Benih Tanaman;26
Pengawas Benih Tanaman Penyelia;A5EB03E24043F6A0E040640A040252AD;;Pengawas Benih Tanaman;58
Pengawas Benih Tanaman Mahir;A5EB03E23E77F6A0E040640A040252AD;;Pengawas Benih Tanaman;113
Pengawas Benih Tanaman Terampil;A5EB03E23E78F6A0E040640A040252AD;;Pengawas Benih Tanaman;95
Pengawas Benih Tanaman Pemula;D6B0F742EB881979E040640A02021D72;;Pengawas Benih Tanaman;93
Pengawas Mutu Hasil Pertanian;;A418D76E096EB891E040640A04021940;;15
Pengawas Mutu Hasil Pertanian Ahli Madya;A5EB03E23F00F6A0E040640A040252AD;;Pengawas Mutu Hasil Pertanian;3
Pengawas Mutu Hasil Pertanian Ahli Muda;A5EB03E23F01F6A0E040640A040252AD;;Pengawas Mutu Hasil Pertanian;6
Pengawas Mutu Hasil Pertanian Ahli Pertama;A5EB03E23F02F6A0E040640A040252AD;;Pengawas Mutu Hasil Pertanian;6
Pengawas Mutu Hasil Pertanian Penyelia;A5EB03E23F03F6A0E040640A040252AD;;Pengawas Mutu Hasil Pertanian;0
Pengendali Organisme Pengganggu Tumbuhan;;A418D76E0C4DB891E040640A04021940;;418
Pengendali Organisme Pengganggu Tumbuhan Ahli Madya;A5EB03E23F76F6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;22
Pengendali Organisme Pengganggu Tumbuhan Ahli Muda;A5EB03E23F77F6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;20
Pengendali Organisme Pengganggu Tumbuhan Ahli Pertama;A5EB03E23F78F6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;17
Pengendali Organisme Pengganggu Tumbuhan Penyelia;A5EB03E23F79F6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;60
Pengendali Organisme Pengganggu TumbuhanMahir;A5EB03E23F7AF6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;129
Pengendali Organisme Pengganggu Tumbuhan Terampil;A5EB03E23F7BF6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;120
Pengendali Organisme Pengganggu Tumbuhan Pemula;A5EB03E23E62F6A0E040640A040252AD;;Pengendali Organisme Pengganggu Tumbuhan;50
Penyuluh Pertanian;;A418D76E13AEB891E040640A0402194;;16
Penyuluh Pertanian Ahli Utama;A5EB03E23E3DF6A0E040640A040252AD;;Penyuluh Pertanian;0
Penyuluh Pertanian Ahli Madya;A5EB03E23EBCF6A0E040640A040252AD;;Penyuluh Pertanian;5
Penyuluh Pertanian Ahli Muda;A5EB03E23EBDF6A0E040640A040252AD;;Penyuluh Pertanian;5
Penyuluh Pertanian Ahli Pertama;A5EB03E23EBEF6A0E040640A040252AD;;Penyuluh Pertanian;6
Penyuluh Pertanian Penyelia;A5EB03E23EBFF6A0E040640A040252AD;;Penyuluh Pertanian;0
Penyuluh Pertanian Mahir;A5EB03E23EC0F6A0E040640A040252AD;;Penyuluh Pertanian;0
Penyuluh Pertanian Terampil;A5EB03E23EC1F6A0E040640A040252AD;;Penyuluh Pertanian;0
Penyuluh Pertanian Pemula;A5EB03E23E61F6A0E040640A040252AD;;Penyuluh Pertanian;0
Pengawas Alat dan Mesin Pertanian;;8ae482894be32eea014be835041f60f3;;3
Pengawas Alat dan Mesin Pertanian Ahli Madya;88D10C558958AEECE050640A29037FE4;;Pengawas Alat dan Mesin Pertanian;1
Pengawas Alat dan Mesin Pertanian Ahli Muda;88D10C558959AEECE050640A29037FE4;;Pengawas Alat dan Mesin Pertanian;2
Pengawas Alat dan Mesin Pertanian Ahli Pertama;88D10C558957AEECE050640A29037FE4;;Pengawas Alat dan Mesin Pertanian;0
Pamong Budaya;;A418D76E0253B891E040640A04021940;;33
Pamong Budaya Ahli Madya;A5EB03E23F7CF6A0E040640A040252AD;;Pamong Budaya;5
Pamong Budaya Ahli Muda;A5EB03E24001F6A0E040640A040252AD;;Pamong Budaya;8
Pamong Budaya Ahli Pertama;A5EB03E24002F6A0E040640A040252AD;;Pamong Budaya;8
Pamong Budaya Penyelia;A5EB03E24003F6A0E040640A040252AD;;Pamong Budaya;4
Pamong Budaya Mahir;A5EB03E23ED0F6A0E040640A040252AD;;Pamong Budaya;4
Pamong Budaya Terampil;A5EB03E24004F6A0E040640A040252AD;;Pamong Budaya;4
Pekerja Sosial;;A418D76E025DB891E040640A04021940;;227
Pekerja Sosial Ahli Madya;A5EB03E24091F6A0E040640A040252AD;;Pekerja Sosial;18
Pekerja Sosial Ahli Muda;A5EB03E24092F6A0E040640A040252AD;;Pekerja Sosial;24
Pekerja Sosial Ahli Pertama;A5EB03E24093F6A0E040640A040252AD;;Pekerja Sosial;30
Pekerja Sosial Penyelia;A5EB03E24094F6A0E040640A040252AD;;Pekerja Sosial;15
Pekerja Sosial Mahir;A5EB03E24095F6A0E040640A040252AD;;Pekerja Sosial;22
Pekerja Sosial Terampil;A5EB03E24096F6A0E040640A040252AD;;Pekerja Sosial;28
Pekerja Sosial Pemula;A5EB03E24097F6A0E040640A040252AD;;Pekerja Sosial;90
Pengantar Kerja;;A418D76E08E6B891E040640A04021940;;14
Pengantar Kerja Ahli Utama;ff80808155ec20660155fc14ec771feb;;Pengantar Kerja;1
Pengantar Kerja Ahli Madya;A5EB03E23F63F6A0E040640A040252AD;;Pengantar Kerja;5
Pengantar Kerja Ahli Muda;A5EB03E23F64F6A0E040640A040252AD;;Pengantar Kerja;4
Pengantar Kerja Ahli Pertama;A5EB03E23F65F6A0E040640A040252AD;;Pengantar Kerja;4
Pengantar Kerja Penyelia;A5EB03E23F66F6A0E040640A040252AD;;Pengantar Kerja;0
Pengantar Kerja Mahir;A5EB03E23F67F6A0E040640A040252AD;;Pengantar Kerja;0
Pengantar Kerja Terampil;A5EB03E23F68F6A0E040640A040252AD;;Pengantar Kerja;0
Mediator Hubungan Industrial;;ff80808141007d2801410ae03c0a2c4f;;22
Mediator Hubungan Industrial Ahli Madya;A5EB03E24044F6A0E040640A040252AD;;Mediator Hubungan Industrial;7
Mediator Hubungan Industrial Ahli Muda;A5EB03E24045F6A0E040640A040252AD;;Mediator Hubungan Industrial;7
Mediator Hubungan Industrial Ahli Pertama;A5EB03E24046F6A0E040640A040252AD;;Mediator Hubungan Industrial;8
Manggala Informatika;;;;8
Manggala Informatika Ahli Utama;BC0D149771567002E050640A2A031388;;Manggala Informatika;0
Manggala Informatika Ahli Madya;BC0D149771557002E050640A2A031388;;Manggala Informatika;2
Manggala Informatika Ahli Muda;BC0D149771547002E050640A2A031388;;Manggala Informatika;2
Manggala Informatika Ahli Pertama;BC0D149771537002E050640A2A031388;;Manggala Informatika;4
Perencana;;8ae482873f51a3df013f702adfbf1eea; ;48
Perencana Ahli Utama;A5EB03E23E7DF6A0E040640A040252AD;;Perencana;0
Perencana Ahli Madya;A5EB03E23E7EF6A0E040640A040252AD;;Perencana;11
Perencana Ahli Muda;A5EB03E23E7FF6A0E040640A040252AD;;Perencana;18
Perencana Ahli Pertama;A5EB03E23F84F6A0E040640A040252AD;;Perencana;19
Pembina Mutu Hasil Kelautan dan Perikanan;;;;0
Pembina Mutu Hasil Kelautan dan Perikanan Ahli Utama;88D10C558942AEECE050640A29037FE4;;Pembina Mutu Hasil Kelautan dan Perikanan;0
Pembina Mutu Hasil Kelautan dan Perikanan Ahli Madya;88D10C55893FAEECE050640A29037FE4;;Pembina Mutu Hasil Kelautan dan Perikanan;0
Pembina Mutu Hasil Kelautan dan Perikanan Ahli Muda;88D10C558940AEECE050640A29037FE4;;Pembina Mutu Hasil Kelautan dan Perikanan;0
Pembina Mutu Hasil Kelautan dan Perikanan Ahli Pertama;88D10C558941AEECE050640A29037FE4;;Pembina Mutu Hasil Kelautan dan Perikanan;0
Asisten Pembina Mutu Hasil Kelautan dan Perikanan;;;;0
Asisten Pembina Mutu Hasil Kelautan dan Perikanan Penyelia;88D10C558941AEECE050640A29037FE4;;Asisten Pembina Mutu Hasil Kelautan dan Perikanan;0
Asisten Pembina Mutu Hasil Kelautan dan Perikanan Mahir;88D10C558907AEECE050640A29037FE4;;Asisten Pembina Mutu Hasil Kelautan dan Perikanan;0
Asisten Pembina Mutu Hasil Kelautan dan Perikanan Terampil;88D10C558909AEECE050640A29037FE4;;Asisten Pembina Mutu Hasil Kelautan dan Perikanan;0
Pengendali Ekosistem Hutan;;A418D76E0C45B891E040640A04021940;;603
Pengendali Ekosistem Hutan Ahli Madya;A5EB03E23EA5F6A0E040640A040252AD;;Pengendali Ekosistem Hutan;28
Pengendali Ekosistem Hutan Ahli Muda;A5EB03E23EA6F6A0E040640A040252AD;;Pengendali Ekosistem Hutan;101
Pengendali Ekosistem Hutan Ahli Pertama;A5EB03E23EA8F6A0E040640A040252AD;;Pengendali Ekosistem Hutan;134
Pengendali Ekosistem Hutan Penyelia;A5EB03E23EA7F6A0E040640A040252AD;;Pengendali Ekosistem Hutan;64
